S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE
000852.SH,20130620,3965.698,3976.15,3859.829,3860.886
000905.SH,20130620,3562.128,3566.361,3463.133,3465.004
000300.SH,20130621,2283.151,2332.842,2269.565,2317.394
000852.SH,20130621,3791.659,3855.661,3721.589,3833.822
000905.SH,20130621,3401.471,3464.592,3347.757,3446.483
000300.SH,20130624,2308.069,2308.069,2164.325,2171.21
000852.SH,20130624,3824.981,3824.981,3570.711,3604.749
000905.SH,20130624,3439.866,3439.866,3200.67,3232.962
000300.SH,20130625,2146.053,2169.211,2023.171,2165.421
000852.SH,20130625,3563.808,3616.715,3330.601,3602.569
000905.SH,20130625,3202.659,3243.401,2981.691,3219.134
000300.SH,20130626,2170.326,2181.021,2131.86,2168.297
000852.SH,20130626,3598.272,3697.963,3578.025,3697.963
000905.SH,20130626,3222.68,3285.818,3200.158,3285.818
000300.SH,20130627,2172.848,2200.213,2153.175,2160.735
000852.SH,20130627,3703.461,3758.308,3625.638,3625.677
000905.SH,20130627,3293.078,3339.86,3231.146,3233.222
000300.SH,20130628,2149.03,2227.461,2139.372,2200.639
000852.SH,20130628,3599.109,3680.897,3556.303,3602.107
000905.SH,20130628,3212.254,3292.91,3176.242,3235.978
000300.SH,20130701,2187.092,2213.965,2166.353,2213.317
000852.SH,20130701,3594.874,3693.602,3582.398,3693.602
000905.SH,20130701,3226.624,3304.591,3210.662,3304.591
000300.SH,20130702,2211.803,2226.113,2191.801,2221.984
000852.SH,20130702,3695.513,3769.933,3692.465,3769.933
000905.SH,20130702,3304.987,3359.123,3295.327,3359.053
000300.SH,20130703,2211.044,2211.044,2169.137,2203.828
000852.SH,20130703,3758.147,3789.83,3690.785,3780.596
000905.SH,20130703,3346.107,3372.631,3288.019,3364.184
000300.SH,20130704,2187.181,2245.908,2176.08,2221.979
000852.SH,20130704,3761.031,3839.361,3742.641,3795.61
000905.SH,20130704,3342.011,3427.378,3325.268,3390.488
000300.SH,20130705,2227.35,2252.033,2225.047,2226.849
000852.SH,20130705,3795.211,3830.267,3756.334,3756.334
000905.SH,20130705,3392.584,3427.984,3371.315,3371.529
000300.SH,20130708,2194.423,2205.214,2162.189,2163.619
000852.SH,20130708,3698.577,3705.504,3611.247,3620.65
000905.SH,20130708,3322.135,3322.135,3240.105,3240.477
000300.SH,20130709,2160.699,2174.786,2149.787,2162.669
000852.SH,20130709,3612.353,3650.696,3595.789,3650.696
000905.SH,20130709,3231.699,3263.391,3210.731,3259.911
000300.SH,20130710,2163.098,2224.135,2157.468,2224.065
000852.SH,20130710,3649.54,3751.047,3648.772,3751.047
000905.SH,20130710,3259.845,3361.395,3257.904,3361.395
000300.SH,20130711,2232.157,2351.223,2232.157,2326.688
000852.SH,20130711,3747.885,3855.886,3747.885,3832.034
000905.SH,20130711,3364.841,3484.787,3364.229,3455.884
000300.SH,20130712,2319.023,2331.986,2274.073,2275.373
000852.SH,20130712,3828.744,3884.54,3820.948,3829.195
000905.SH,20130712,3453.441,3490.497,3424.277,3425.135
000300.SH,20130715,2289.762,2336.04,2274.673,2307.297
000852.SH,20130715,3833.032,3923.381,3833.032,3923.381
000905.SH,20130715,3432.257,3493.721,3431.497,3493.441
000300.SH,20130716,2300.83,2317.848,2281.942,2317.848
000852.SH,20130716,3927.977,3966.64,3902.398,3966.64
000905.SH,20130716,3496.728,3536.313,3474.361,3536.313
000300.SH,20130717,2311.443,2326.925,2281.609,2282.836
000852.SH,20130717,3957.363,3979.764,3889.214,3908.83
000905.SH,20130717,3529.714,3552.368,3474.363,3485.074
000300.SH,20130718,2272.947,2282.435,2241.93,2245.328
000852.SH,20130718,3895.673,3933.6,3867.409,3911.198
000905.SH,20130718,3476.181,3505.185,3445.326,3481.201
000300.SH,20130719,2248.133,2257.916,2188.752,2190.478
000852.SH,20130719,3909.235,3958.214,3832.159,3832.159
000905.SH,20130719,3479.531,3510.11,3394.306,3394.306
000300.SH,20130722,2170.089,2203.058,2159.813,2202.189
000852.SH,20130722,3806.729,3919.302,3794.535,3919.302
000905.SH,20130722,3374.572,3461.699,3359.386,3461.281
000300.SH,20130723,2211.587,2276.742,2206.756,2265.845
000852.SH,20130723,3928.55,4015.217,3928.55,4015.217
000905.SH,20130723,3470.598,3545.054,3470.598,3544.966
000300.SH,20130724,2253.376,2265.578,2217.192,2249.151
000852.SH,20130724,4010.292,4064.606,3986.118,4057.864
000905.SH,20130724,3536.155,3575.004,3500.079,3566.282
000300.SH,20130725,2255.223,2268.839,2227.853,2237.683
000852.SH,20130725,4057.976,4066.008,3951.42,3963.314
000905.SH,20130725,3561.507,3572.547,3496.311,3498.242
000300.SH,20130726,2226.429,2238.42,2209.806,2224.008
000852.SH,20130726,3950.727,3984.382,3905.062,3968.932
000905.SH,20130726,3486.957,3520.493,3449.607,3494.159
000300.SH,20130729,2205.083,2205.083,2169.017,2175.97
000852.SH,20130729,3952.464,3966.766,3894.069,3901.096
000905.SH,20130729,3477.264,3484.639,3423.772,3426.593
000300.SH,20130730,2184.007,2221.589,2162.979,2189.388
000852.SH,20130730,3898.465,3921.875,3797.795,3882.32
000905.SH,20130730,3426.956,3449.539,3349.551,3411.219
000300.SH,20130731,2211.75,2235.384,2187.21,2193.021
000852.SH,20130731,3888.091,3925.291,3885.452,3900.485
000905.SH,20130731,3428.134,3462.095,3418.715,3430.743
000300.SH,20130801,2206.004,2245.56,2200.626,2245.364
000852.SH,20130801,3904.843,4026.471,3904.843,4026.471
000905.SH,20130801,3435.084,3521.156,3429.716,3521.152
000300.SH,20130802,2263.495,2274.71,2244.252,2247.263
000852.SH,20130802,4040.019,4078.688,4034.801,4038.773
000905.SH,20130802,3535.887,3563.186,3528.641,3533.609
000300.SH,20130805,2249.976,2278.329,2243.22,2278.329
000852.SH,20130805,4036.286,4102.126,4036.286,4102.126
000905.SH,20130805,3531.652,3592.872,3528.85,3592.538
000300.SH,20130806,2270.672,2302.484,2256.715,2293.641
000852.SH,20130806,4100.472,4155.574,4092.626,4146.665
000905.SH,20130806,3589.52,3638.705,3581.526,3631.124
000300.SH,20130807,2292.379,2313.879,2276.862,2280.623
000852.SH,20130807,4140.768,4147.756,4086.932,4094.321
000905.SH,20130807,3628.004,3644.212,3589.339,3596.318
000300.SH,20130808,2277.253,2297.628,2267.073,2276.782
000852.SH,20130808,4081.523,4137.067,4074.376,4113.071
000905.SH,20130808,3589.162,3627.247,3577.58,3605.85
000300.SH,20130809,2288.51,2301.59,2258.334,2286.01
