S_INFO_WINDCODE,LIMIT_PCT,EFFECTIVE_DATE
IF1911.CFE,20.0,20191115
IC2001.CFE,10.0,20191118
IF2001.CFE,10.0,20191118
IC2007.CFE,20.0,20200717
IF2007.CFE,20.0,20200717
IC2103.CFE,10.0,20200720
IF2103.CFE,10.0,20200720
IC1912.CFE,20.0,20191220
IF1912.CFE,20.0,20191220
IC2002.CFE,10.0,20191223
IF2002.CFE,10.0,20191223
IC1903.CFE,20.0,20190315
IF1903.CFE,20.0,20190315
IF1905.CFE,10.0,20190318
IC1905.CFE,10.0,20190318
IC1908.CFE,10.0,20190624
IF1908.CFE,10.0,20190624
IC1906.CFE,20.0,20190621
IF1906.CFE,20.0,20190621
IC1907.CFE,20.0,20190719
IF1907.CFE,20.0,20190719
IC2003.CFE,10.0,20190722
IF2003.CFE,10.0,20190722
IC2002.CFE,20.0,20200221
IF2002.CFE,20.0,20200221
IC2004.CFE,10.0,20200224
IF2004.CFE,10.0,20200224
IC1904.CFE,20.0,20190419
IF1904.CFE,20.0,20190419
IF1912.CFE,10.0,20190422
IC1912.CFE,10.0,20190422
IC2001.CFE,20.0,20200117
IF2001.CFE,20.0,20200117
IC2009.CFE,10.0,20200120
IF2009.CFE,10.0,20200120
IC2003.CFE,20.0,20200320
IF2003.CFE,20.0,20200320
IF2005.CFE,10.0,20200323
IC2005.CFE,10.0,20200323
IC1905.CFE,20.0,20190517
IC1904.CFE,10.0,20190218
IF1904.CFE,10.0,20190218
IF1905.CFE,20.0,20190517
IC1907.CFE,10.0,20190520
IF1907.CFE,10.0,20190520
IC2111.CFE,20.0,20211119
IF2111.CFE,20.0,20211119
IF2204.CFE,10.0,20220221
IC2204.CFE,10.0,20220221
IC2202.CFE,20.0,20220218
IF2202.CFE,20.0,20220218
IF2205.CFE,10.0,20220321
IC2205.CFE,10.0,20220321
IC2203.CFE,20.0,20220318
IF2203.CFE,20.0,20220318
IC2203.CFE,10.0,20210719
IF2203.CFE,10.0,20210719
